Vendor,Location,Department,Role,Currency,Amount,Item,Rate,Quantity,Summary,Tag,id
Swiggy,"New Delhi, India",Sales,Dept Head,INR,1124,Meal,1124,1,"Dept Head from Sales spent 1124 INR on Meal at Swiggy in New Delhi, India.",Meals,BTVJA9V22D
Amazon,"Toronto, Canada",IT,Manager,CAD,13212,Office Chair,4404,3,"Manager from IT spent 13212 CAD on Office Chair at Amazon in Toronto, Canada.",Office Supply,80NXCAGCC8
OYO,"Dubai, UAE",Customer Support,Dept Head,AED,4872,Deluxe Room,2436,2,"Dept Head from Customer Support spent 4872 AED on Deluxe Room at OYO in Dubai, UAE.",Travel,WG5IXWB89B
Amazon,"Sydney, Australia",IT,Dept Head,AUD,11127,Laptop,3709,3,"Dept Head from IT spent 11127 AUD on Laptop at Amazon in Sydney, Australia.",Office Supply,6HP63I0L82
Expedia,"Chennai, India",Finance & Accounting,Manager,INR,6252,Deluxe Room,3126,2,"Manager from Finance & Accounting spent 6252 INR on Deluxe Room at Expedia in Chennai, India.",Travel,CX6YOSD851
Goibibo,"Ahmedabad, India",Customer Support,Dept Head,INR,7030,Flight Ticket,3515,2,"Dept Head from Customer Support spent 7030 INR on Flight Ticket at Goibibo in Ahmedabad, India.",Travel,QPGLUZ1NIT
OYO,"Pune, India",Marketing,Manager,INR,6879,Deluxe Room,2293,3,"Manager from Marketing spent 6879 INR on Deluxe Room at OYO in Pune, India.",Travel,1B4UK0MIJG
Amazon,"Ahmedabad, India",Sales,Team Lead,INR,3558,Laptop,3558,1,"Team Lead from Sales spent 3558 INR on Laptop at Amazon in Ahmedabad, India.",Office Supply,5HPVYEUWP0
MakeMyTrip,"Hyderabad, India",Customer Support,Employee,INR,1417,Flight Ticket,1417,1,"Employee from Customer Support spent 1417 INR on Flight Ticket at MakeMyTrip in Hyderabad, India.",Travel,P1GONMLVYF
Ola,"Pune, India",Operations,Team Lead,INR,2163,Flight Ticket,2163,1,"Team Lead from Operations spent 2163 INR on Flight Ticket at Ola in Pune, India.",Travel,HOB49149OM
Uber,"Chennai, India",Marketing,Manager,INR,4545,Deluxe Room,1515,3,"Manager from Marketing spent 4545 INR on Deluxe Room at Uber in Chennai, India.",Travel,R8TWUK01T1
